Timestamp,Endpoint,Industry_ID,Alert_Level,Confidence,Response_Time,Status,Error
2026-02-12 01:53:48,/api/predict,,,,0.009s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:48,/api/predict,,,,0.010s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:49,/api/predict,,,,0.008s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:49,/api/predict,,,,0.008s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:49,/api/predict,,,,0.008s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:50,/api/predict,,,,0.007s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:50,/api/predict,,,,0.010s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:50,/api/predict,,,,0.008s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:50,/api/predict,,,,0.008s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:51,/api/predict,,,,0.012s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:51,/api/predict,,,,0.009s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:51,/api/predict,,,,0.009s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:53:51,/api/predict,,,,0.009s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:55:49,/api/predict,,,,0.013s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:55:50,/api/predict,,,,0.013s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:55:51,/api/predict,,,,0.010s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:55:58,/api/predict,,,,0.030s,error,Prediction failed: [Errno 2] No such file or directory: 'emission_model\\training_stats.pkl'
2026-02-12 01:58:01,/api/predict,,Low,90.0,0.862s,success,
2026-02-12 01:58:34,/api/predict,,Low,100.0,9.721s,success,
2026-02-12 02:03:07,/api/health,,,,,success,
2026-02-12 07:53:15,/api/health,,,,,success,
2026-02-12 07:56:02,/api/predict,,Low,90.0,1.460s,success,
2026-02-12 07:56:28,/api/ranking,,,,0.006s,success,
2026-02-12 07:56:28,/api/ranking,,,,0.008s,success,
2026-02-12 07:56:56,/api/predict,,Low,90.0,1.243s,success,
2026-02-12 07:57:04,/api/guidelines,,,,,success,
2026-02-12 07:57:04,/api/guidelines,,,,,success,
2026-02-12 07:57:17,/api/ranking,,,,0.007s,success,
2026-02-12 07:57:17,/api/ranking,,,,0.008s,success,
2026-02-12 07:58:53,/api/guidelines,,,,,success,
2026-02-12 07:58:53,/api/guidelines,,,,,success,
2026-02-12 08:00:01,/api/ranking,,,,0.006s,success,
2026-02-12 08:00:16,/api/guidelines,,,,,success,
2026-02-12 08:00:16,/api/ranking,,,,0.007s,success,
2026-02-12 08:00:16,/api/guidelines,,,,,success,
2026-02-12 08:00:16,/api/ranking,,,,0.004s,success,
2026-02-12 08:00:19,/api/ranking,,,,0.007s,success,
2026-02-12 08:00:19,/api/ranking,,,,0.006s,success,
2026-02-12 08:00:22,/api/guidelines,,,,,success,
2026-02-12 08:00:22,/api/guidelines,,,,,success,
2026-02-12 08:05:21,/api/predict,,Low,90.0,1.260s,success,
2026-02-12 08:05:30,/api/ranking,,,,0.007s,success,
2026-02-12 08:05:30,/api/ranking,,,,0.006s,success,
2026-02-12 08:05:51,/api/ranking,,,,0.004s,success,
2026-02-12 08:05:51,/api/ranking,,,,0.005s,success,
2026-02-12 08:06:17,/api/ranking,,,,0.005s,success,
2026-02-12 08:06:17,/api/ranking,,,,0.006s,success,
2026-02-12 08:06:20,/api/simulate,,,,0.003s,error,Simulation failed: [Errno 2] No such file or directory: 'dataset\\infratech_small.csv'
2026-02-12 08:10:24,/api/predict,,Low,90.0,1.330s,success,
2026-02-12 08:10:33,/api/ranking,,,,0.005s,success,
2026-02-12 08:10:33,/api/ranking,,,,0.004s,success,
2026-02-12 08:10:45,/api/ranking,,,,0.005s,success,
2026-02-12 08:10:45,/api/ranking,,,,0.008s,success,
2026-02-12 08:10:46,/api/guidelines,,,,,success,
2026-02-12 08:10:46,/api/guidelines,,,,,success,
2026-02-12 08:10:48,/api/ranking,,,,0.006s,success,
2026-02-12 08:10:49,/api/ranking,,,,0.005s,success,
2026-02-12 08:10:56,/api/simulate,,,,0.005s,error,Simulation failed: [Errno 2] No such file or directory: 'dataset\\infratech_small.csv'
2026-02-12 08:14:57,/api/simulate,,,,0.216s,success,
2026-02-12 08:15:11,/api/ranking,,,,0.016s,success,
2026-02-12 08:15:11,/api/ranking,,,,0.004s,success,
2026-02-12 08:17:37,/api/ranking,,,,0.007s,success,
2026-02-12 08:17:37,/api/ranking,,,,0.004s,success,
2026-02-12 08:23:26,/api/predict,,Low,90.0,1.462s,success,
2026-02-12 08:25:29,/api/predict,,Low,90.0,1.255s,success,
2026-02-12 08:36:29,/api/simulate,,,,0.193s,success,
2026-02-12 08:36:47,/api/simulate,,,,0.200s,success,
2026-02-12 08:36:56,/api/ranking,,,,0.014s,success,
2026-02-12 08:36:56,/api/ranking,,,,0.006s,success,
2026-02-12 08:37:03,/api/guidelines,,,,,success,
2026-02-12 08:37:03,/api/guidelines,,,,,success,
2026-02-12 09:09:01,/api/ranking,,,,0.007s,success,
2026-02-12 09:09:01,/api/ranking,,,,0.004s,success,
2026-02-12 09:09:08,/api/ranking,,,,0.004s,success,
2026-02-12 09:09:08,/api/ranking,,,,0.004s,success,
2026-02-12 09:09:10,/api/guidelines,,,,,success,
2026-02-12 09:09:10,/api/guidelines,,,,,success,
