Industry_ID,Predicted_CO2,Predicted_SO2,Predicted_BOD,Predicted_COD,Actual_CO2,Actual_SO2,Actual_BOD,Actual_COD,Error_CO2,Error_SO2,Error_BOD,Error_COD,Date
99,2923.538330078125,38.63456726074219,46.23396682739258,72.73780822753906,,,,,,,,,2026-02-12 00:43:53
33,1630.1995849609375,26.07352638244629,21.455841064453125,41.6938362121582,,,,,,,,,2026-02-12 00:43:53
99,2923.538330078125,38.63456726074219,46.23396682739258,72.73780822753906,,,,,,,,,2026-02-12 00:46:09
33,1630.1995849609375,26.07352638244629,21.455841064453125,41.6938362121582,,,,,,,,,2026-02-12 00:46:09
99,2923.538330078125,38.63456726074219,46.23396682739258,72.73780822753906,,,,,,,,,2026-02-12 01:08:35
33,1630.1995849609375,26.07352638244629,21.455841064453125,41.6938362121582,,,,,,,,,2026-02-12 01:08:35
32,2735.72509765625,43.85087966918945,25.71167755126953,47.29317855834961,,,,,,,,,2026-02-12 01:08:35
34,1749.649169921875,41.91363525390625,13.321465492248535,21.79430389404297,,,,,,,,,2026-02-12 01:08:35
36,3081.63134765625,29.67363166809082,13.492741584777832,25.48379135131836,,,,,,,,,2026-02-12 01:08:35
35,2316.39794921875,16.793710708618164,18.51302146911621,22.86139678955078,,,,,,,,,2026-02-12 01:08:35
27,5677.40185546875,139.85755920410156,16.789108276367188,30.94321060180664,,,,,,,,,2026-02-12 01:08:47
26,2513.8251953125,60.49860382080078,5.931217193603516,11.342607498168944,,,,,,,,,2026-02-12 01:08:47
31,2254.220458984375,13.93344783782959,17.08165168762207,27.0690860748291,,,,,,,,,2026-02-12 01:08:47
28,3686.249755859375,91.82899475097656,23.82367706298828,36.209903717041016,,,,,,,,,2026-02-12 01:09:00
0,1290.8199462890625,21.527267456054688,16.0134334564209,14.708553314208984,,,,,,,,,2026-02-12 01:22:52
